Row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.6356,0.8697,0.2205,0.4538,0.8827,0.4225,0.4008,0.4815,0.7901,0.6500,0.3838,0.6723,0.3978,0.8775,0.5588,0.8829,0.8980,0.3108,0.8204,0.5809
2,0.8696,0.2060,0.4644,0.8871,0.4163,0.9263,0.4462,0.8637,0.3804,0.4141,0.9521,0.3879,0.0680,0.2001,0.7680,0.1970,0.9183,0.6149,0.4569,0.0078
3,0.6049,0.8006,0.4548,0.1267,0.3919,0.1120,0.3736,0.3403,0.5133,0.5156,0.0814,0.3126,0.1312,0.6419,0.3166,0.0102,0.3035,0.1728,0.1705,0.6121
4,0.7940,0.3892,0.5329,0.1233,0.0121,0.1633,0.2466,0.6142,0.3381,0.0445,0.3771,0.5309,0.9193,0.6072,0.1577,0.4387,0.7038,0.8757,0.2657,0.3006
5,0.8006,0.9423,0.0976,0.4130,0.2374,0.6753,0.4903,0.3408,0.9921,0.9036,0.8328,0.6983,0.3872,0.6830,0.8057,0.1967,0.8938,0.5608,0.7841,0.3078
6,0.1990,0.1379,0.1276,0.8425,0.7700,0.0468,0.4882,0.7197,0.6832,0.7265,0.1392,0.4944,0.1193,0.2191,0.9428,0.0598,0.1253,0.0438,0.2364,0.8283
7,0.7772,0.2541,0.3472,0.7382,0.3921,0.6847,0.1795,0.8053,0.3894,0.8987,0.9821,0.3976,0.9681,0.0133,0.4219,0.2847,0.6499,0.7325,0.2250,0.7183
8,0.9960,0.3416,0.7067,0.5119,0.3264,0.0758,0.3057,0.1854,0.4105,0.1200,0.6805,0.8827,0.8009,0.5474,0.0921,0.0730,0.7022,0.4352,0.9045,0.8308
9,0.6633,0.1298,0.4614,0.5570,0.1989,0.4625,0.5950,0.9109,0.9774,0.6470,0.2219,0.3812,0.8277,0.3898,0.1725,0.8458,0.2857,0.7811,0.1973,0.1144
10,0.4318,0.4971,0.3542,0.4448,0.2319,0.5155,0.9563,0.1355,0.1970,0.3577,0.3042,0.3450,0.0945,0.2911,0.5689,0.1731,0.4044,0.2438,0.2343,0.7946
11,0.9174,0.0714,0.3789,0.6153,0.5821,0.9347,0.5790,0.4254,0.8406,0.8806,0.5125,0.1703,0.5123,0.9250,0.5521,0.2550,0.6623,0.5314,0.3874,0.8612
12,0.9536,0.0533,0.7853,0.3693,0.2079,0.6486,0.7669,0.3127,0.2145,0.8966,0.2907,0.7918,0.5869,0.1063,0.8177,0.7662,0.8717,0.6379,0.8577,0.1199
13,0.5300,0.7917,0.4838,0.5933,0.1910,0.7645,0.3495,0.6484,0.6602,0.4602,0.1401,0.5121,0.4541,0.9565,0.7676,0.3336,0.9076,0.2465,0.8121,0.7186
14,0.2860,0.1975,0.2481,0.9018,0.1768,0.9879,0.1209,0.6111,0.3621,0.7447,0.3026,0.8268,0.4631,0.6085,0.8093,0.9380,0.2478,0.8360,0.9063,0.3694
15,0.0819,0.9835,0.1518,0.0738,0.7219,0.3144,0.1118,0.9779,0.3448,0.6588,0.4771,0.3124,0.5438,0.7360,0.4173,0.7613,0.7741,0.8538,0.7069,0.5918
16,0.2116,0.7355,0.3601,0.3362,0.2247,0.0636,0.5451,0.8301,0.6777,0.5574,0.1168,0.6111,0.6003,0.3233,0.1176,0.7856,0.7148,0.2957,0.5027,0.7956
17,0.5583,0.4667,0.9500,0.9321,0.7194,0.0313,0.1899,0.5829,0.9650,0.6273,0.6164,0.0801,0.8359,0.6847,0.2980,0.9049,0.7390,0.6729,0.5807,0.4132
18,0.3455,0.6759,0.5516,0.6413,0.0806,0.9489,0.2106,0.5273,0.8276,0.7742,0.0970,0.1289,0.4579,0.6358,0.8799,0.3889,0.9118,0.6181,0.3749,0.1136
19,0.8608,0.1277,0.2121,0.5564,0.8096,0.1339,0.1651,0.8728,0.5050,0.2562,0.0575,0.4796,0.1025,0.8165,0.4659,0.6653,0.2532,0.6848,0.5896,0.6978
20,0.8544,0.3382,0.0976,0.8923,0.9870,0.9005,0.7418,0.1724,0.2816,0.9524,0.3982,0.2564,0.3872,0.2558,0.2743,0.2239,0.9228,0.4989,0.9641,0.5525
21,0.3107,0.4720,0.8457,0.7880,0.3941,0.8184,0.7261,0.8509,0.8218,0.6054,0.2363,0.5096,0.9851,0.6575,0.3180,0.2515,0.0205,0.4551,0.9891,0.4422
22,0.3105,0.8302,0.4188,0.3404,0.6693,0.8652,0.7317,0.0376,0.4659,0.8992,0.4175,0.1738,0.9674,0.0772,0.9646,0.1547,0.8817,0.3133,0.9012,0.0555
23,0.2795,0.9302,0.3858,0.6159,0.3832,0.7783,0.5636,0.6405,0.0149,0.0369,0.7373,0.3268,0.1544,0.0465,0.9309,0.5398,0.4164,0.6665,0.5770,0.7876
24,0.1926,0.4230,0.8137,0.6096,0.6160,0.5612,0.2426,0.9098,0.4576,0.1652,0.7774,0.4009,0.7871,0.4353,0.2695,0.7970,0.1964,0.6050,0.3695,0.6852
25,0.3633,0.4633,0.5741,0.3618,0.5943,0.6883,0.6588,0.0709,0.5199,0.2707,0.7138,0.4032,0.4338,0.1554,0.0209,0.0467,0.8550,0.7467,0.3616,0.8418
26,0.6373,0.5908,0.4063,0.8271,0.0392,0.9462,0.7906,0.8003,0.8493,0.5789,0.3648,0.8985,0.3273,0.9763,0.7781,0.3785,0.3716,0.6066,0.5891,0.9477
27,0.8628,0.8225,0.7213,0.8026,0.9042,0.2941,0.4287,0.6298,0.9092,0.4836,0.1267,0.3965,0.5990,0.4737,0.1563,0.8610,0.2998,0.1816,0.4540,0.1608
28,0.9528,0.0677,0.3607,0.6735,0.7048,0.3927,0.6913,0.3480,0.7553,0.4456,0.4527,0.3829,0.3461,0.4353,0.0062,0.9974,0.3989,0.2968,0.0723,0.2672
29,0.8241,0.9913,0.6051,0.1978,0.7680,0.0890,0.9716,0.5439,0.2246,0.5703,0.5120,0.7354,0.6625,0.2479,0.4592,0.3497,0.7953,0.2891,0.1571,0.4415
30,0.7627,0.1766,0.8132,0.3048,0.7381,0.1186,0.3811,0.1396,0.9473,0.4633,0.0826,0.6800,0.5110,0.9886,0.6523,0.8708,0.1482,0.9179,0.7410,0.1800
31,0.1455,0.2822,0.5090,0.0486,0.1449,0.3154,0.6839,0.6125,0.2583,0.0908,0.4781,0.4029,0.3166,0.9201,0.9360,0.1265,0.6174,0.4998,0.7994,0.4431
32,0.9550,0.4417,0.9858,0.8175,0.8398,0.3570,0.3256,0.4888,0.8524,0.5698,0.4392,0.1562,0.3409,0.4339,0.5984,0.1856,0.4748,0.8212,0.8917,0.6114
33,0.3869,0.0389,0.8325,0.1481,0.9486,0.4295,0.2151,0.6310,0.6474,0.4319,0.9648,0.1625,0.7669,0.1430,0.1235,0.7456,0.4629,0.8687,0.8111,0.2848
34,0.6846,0.5369,0.5101,0.6459,0.3394,0.7769,0.7646,0.5726,0.7324,0.8675,0.5246,0.5501,0.7638,0.0062,0.5551,0.7096,0.8306,0.1124,0.8996,0.8261
35,0.7412,0.1670,0.9434,0.5019,0.7958,0.7864,0.5776,0.7382,0.8174,0.2921,0.4320,0.4198,0.4405,0.8766,0.5255,0.6235,0.2760,0.8997,0.3319,0.8305
36,0.7992,0.8959,0.9923,0.2913,0.3496,0.7490,0.3348,0.6689,0.5693,0.8985,0.8471,0.3621,0.2606,0.9251,0.4396,0.7781,0.9281,0.4138,0.5440,0.4003
37,0.5891,0.2476,0.5682,0.7971,0.7684,0.7739,0.9110,0.5279,0.2185,0.2267,0.5786,0.5259,0.6820,0.5864,0.8436,0.2467,0.2174,0.1038,0.3551,0.0790
38,0.6755,0.6776,0.0063,0.7536,0.4472,0.7270,0.6630,0.7563,0.9819,0.1026,0.4127,0.5352,0.2353,0.2671,0.2581,0.4313,0.1492,0.7071,0.4245,0.5236
39,0.6304,0.3065,0.7253,0.5462,0.4867,0.9677,0.6836,0.7073,0.6673,0.8901,0.6168,0.1682,0.6479,0.5838,0.9895,0.9052,0.8041,0.3085,0.7294,0.5430
40,0.9317,0.0460,0.1986,0.6736,0.8927,0.8188,0.3325,0.1298,0.1470,0.9798,0.4001,0.5649,0.4773,0.1993,0.9547,0.9928,0.1065,0.4847,0.7819,0.3962
41,0.7083,0.2750,0.5020,0.2919,0.1907,0.9975,0.1699,0.1580,0.2987,0.2015,0.4603,0.0733,0.8926,0.1103,0.1701,0.5732,0.7292,0.1786,0.8474,0.9932
42,0.0138,0.7863,0.5022,0.1523,0.0028,0.4346,0.6666,0.1593,0.6284,0.9222,0.7738,0.5046,0.0043,0.3269,0.4412,0.5406,0.0359,0.8604,0.7737,0.0145
43,0.9341,0.1961,0.2243,0.5299,0.3272,0.0774,0.3768,0.3298,0.3896,0.4275,0.0606,0.7166,0.3356,0.5960,0.3507,0.0351,0.9280,0.7488,0.5522,0.1032
44,0.8614,0.7227,0.3796,0.7818,0.4428,0.7740,0.6341,0.5229,0.2831,0.3303,0.8621,0.4166,0.0175,0.0163,0.1924,0.0722,0.0368,0.3633,0.9159,0.6930
45,0.5385,0.5289,0.9784,0.8562,0.5176,0.7345,0.9587,0.0743,0.6031,0.0235,0.3561,0.3000,0.6912,0.5096,0.0435,0.5320,0.2085,0.1597,0.4799,0.5171
46,0.8257,0.0526,0.3665,0.2458,0.9009,0.2327,0.8305,0.7725,0.1363,0.6112,0.7320,0.7426,0.8565,0.6423,0.7326,0.6609,0.5255,0.5734,0.6536,0.2349
47,0.9057,0.1826,0.2980,0.0000,0.6281,0.9134,0.7457,0.4114,0.1380,0.8544,0.9832,0.2391,0.3897,0.6078,0.5774,0.8249,0.3363,0.7580,0.3101,0.6290
48,0.4318,0.5204,0.0318,0.8589,0.8344,0.3652,0.3506,0.9307,0.2967,0.7180,0.4895,0.7000,0.3676,0.6223,0.8109,0.7256,0.9019,0.1403,0.4872,0.6106
49,0.3747,0.3067,0.5837,0.3798,0.2122,0.1231,0.7528,0.6004,0.8587,0.2019,0.5503,0.8138,0.2197,0.3593,0.9098,0.6697,0.8790,0.9954,0.8384,0.2616
50,0.2108,0.8576,0.3776,0.3313,0.9510,0.7574,0.7564,0.0986,0.9460,0.8195,0.6916,0.3236,0.4119,0.1974,0.4312,0.7993,0.5471,0.0959,0.7504,0.1550
51,0.2546,0.6608,0.5509,0.3473,0.5866,0.8948,0.2115,0.3412,0.1180,0.0740,0.9903,0.9390,0.3151,0.6119,0.5192,0.2134,0.3132,0.5544,0.9249,0.4246
52,0.8640,0.9276,0.4030,0.6020,0.4150,0.1462,0.3160,0.2477,0.0397,0.7711,0.7967,0.7588,0.5707,0.0520,0.1583,0.5253,0.7338,0.5280,0.2334,0.0896
53,0.3835,0.8346,0.1555,0.9635,0.5912,0.5211,0.2264,0.1373,0.6416,0.2188,0.5816,0.8532,0.9682,0.1575,0.2873,0.8617,0.8485,0.2526,0.5128,0.1782
54,0.3164,0.9559,0.6894,0.3290,0.0857,0.1933,0.3185,0.0699,0.0431,0.2781,0.6186,0.9907,0.0369,0.1892,0.2572,0.9905,0.0665,0.1066,0.9961,0.0930
